Date;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.11.2020;23,756;20,408;19,42;18,716;16,072;14,44;13,396;12,736;13,708;13,824;15,568;16,764;20,312;21,888;27,112;28,516;32,76;36,04;31,792;35,344;33,852;30,472;33,76;31,016
02.11.2020;26,072;24,216;22,532;20,448;18,844;18,412;18,664;20,884;24,328;25,216;22,336;25,752;32,592;29,712;29,4;26,828;29,068;28,924;27,916;27,324;29,56;31,532;34,1;28,868
03.11.2020;27,132;24,268;22,604;19,556;15,944;14,292;13,536;16,388;18,056;19,776;19,72;27,136;26,216;20,952;25,128;25,036;24,952;26,448;27,752;28,076;27,352;27,76;28,42;28,276
04.11.2020;28,312;26,56;22,44;20,152;19,372;17,32;16,608;15,932;15,368;16,524;18,268;22,252;24,976;27,544;26,508;28,084;33,52;32,88;30,664;29,216;27,804;31,976;29,92;28,384
05.11.2020;24,896;23,812;21,252;18,004;15,832;14,936;15,608;16,404;17,036;18,532;21,048;22,876;24,024;30,188;24,16;24,768;27,34;27,908;28,08;28,764;29,532;27,996;30,972;30,236
06.11.2020;26,556;20,972;19,4;17,548;17,472;16,948;17,136;18,116;19,14;20,96;15,488;13,948;19,8;25,712;27,424;23,864;25,148;24,012;26,256;27,016;26,54;29,816;26,28;24,336
07.11.2020;22,488;21,684;19,516;16,628;16,72;15,604;15,068;14,06;14,404;14,044;15,492;16,484;18,812;20,532;20,788;20,872;23,076;28,068;26,716;24,288;23,192;23,764;24,704;24,54
08.11.2020;21,736;19,136;17,912;16,612;15,556;14,404;14,848;14,908;15,12;15,224;16,716;20,86;21,676;26,804;22,648;25,056;26,496;30,348;28,136;31,416;31,416;30,328;30,408;31,728
09.11.2020;27,504;22,08;22,464;19,584;17,012;18,624;18,212;19,304;21,096;21,456;20,38;21,572;27,888;27,104;24,192;24,296;26,04;29,448;28,228;28,132;29,192;29,492;33,036;32,736
10.11.2020;27,876;24,064;19,704;18,696;17,612;17,012;17,284;17,632;19,888;20,496;14,936;9,628;22,62;26,508;27,564;27,84;28,904;31,124;32,776;34,464;28,476;30,364;30,452;30,244
11.11.2020;27,268;25,408;20,884;17,928;16,692;16,008;17,04;18,428;20,192;20,476;23,232;26,588;31,704;31,56;31,556;30,14;30,284;33,564;34,372;31,652;31,928;34,872;35,512;33,184
12.11.2020;27,024;23,952;21,244;18,932;16,016;14,432;15,772;17,808;18,196;21,16;19,892;21,128;24,624;27,792;27,512;27,92;27,54;30,456;29,932;32,284;36,016;31,128;34,9;30,332
13.11.2020;27,612;24,496;22,6;19,168;17,196;16,692;16,984;19,472;18,804;21,384;20,652;25,988;23,156;23,24;25,748;30,672;29,928;20,212;21,632;28,32;27,02;30,108;29,524;28,164
14.11.2020;24,556;22,068;20,412;16,764;15,264;15,152;15,796;14,916;17,292;18,488;18,056;20,756;21,8;23,852;25,596;26,82;28,7;28,856;29,564;32,944;28,284;27,38;25,148;27,84
15.11.2020;24,888;22,628;19,664;19,116;17,644;18,54;17,456;17,776;16,412;17,36;18,536;22,944;21,868;23,04;25,16;28,752;36,064;30,828;30,476;30,872;34,536;34,068;33,168;32,2
16.11.2020;29,972;27,128;23,08;18,98;17,508;18,004;19,12;18,212;20,364;22,172;24,204;26,044;32,412;32,224;32,392;28,612;26,196;28,5;29,436;32,24;36,728;36,672;33,856;29,148
17.11.2020;29,792;27,392;23,64;20,256;19,548;19,316;19,512;20,856;23,804;26,468;25,972;24,216;33,248;29,852;25,08;26,196;29,04;31,636;30,028;33,676;34,856;40,032;43,352;39,408
18.11.2020;36,212;30,336;24,54;23,248;21,592;22,1;20,872;22,116;23,632;25,672;26,864;29,952;34,736;31,616;32,092;36,128;25,276;23,268;39,988;41,728;42,688;42,668;42,428;43,16
19.11.2020;35,748;31,896;27,056;26,924;28,164;26,632;23,648;24,728;29,236;30,892;31,596;34,224;33,884;34,436;34,496;40,088;37,964;38,956;36,752;35,68;38,636;40,268;44,08;39,828
20.11.2020;31,716;32,932;29,544;26,256;24,572;25,276;23,696;24,488;26,592;31,608;32,364;35,924;34,844;34,224;33,908;33,216;39,008;39,652;37,792;35,408;37,96;34,18;35,632;32,672
